Date / Time,City,State,Shape,Duration,Summary,Posted
9/20/2014 1:55,Vero Beach/Melbourne,FL,Circle,5 minutes,Bright yellow orange glowing circular object observed for aprroximately 5 minutes.,9/25/2014
9/20/2014 1:45,Melbourne,FL,Unknown,10 seconds,"Bright yellow light, flying really slow and really low.",9/25/2014
9/19/2014 23:00,Anaheim,CA,Disk,1 minute,"I have an encounter for second time in a week, with a Disk giant that was flying in the sealing of the building with another like big l",9/25/2014
9/19/2014 22:15,Elizabethtown,PA,Fireball,90 seconds,2 red fireball objects rose into air close to Elizabethtown college campus and hovered for approximately 20 seconds until they moved in,9/25/2014
9/19/2014,Denver,CO,Disk,>5 minutes,At the Rockies game during the fireworks a lot of people were looking away from the fireworks and noticed an object with 3 lights. 2 re,9/25/2014
9/19/2014 21:30,Boise,ID,Light,5 minutes,3 orange lights floating above a house by Cole road & Northview. They weren't moving fast just hanging out. I took a photo where two of,9/25/2014
9/19/2014 21:00,Valley,AL,,5 minutes,More bright moving dots in the sky.,9/25/2014
9/19/2014 20:18,Montebello,CA,Sphere,15 seconds,White sphere going north before disappearing.,9/25/2014
9/19/2014 20:15,North Tonawanda,NY,Oval,2 minutes,Bright orange globe traveled past me and disappeared into the woods behind my house.,9/25/2014
9/19/2014 20:00,Cheney,WA,Triangle,3-6 minutes,"I was multiplaying with my friend online, talking to him on the phone. My dad yelled to me saying there was something weird outside and",9/25/2014
9/19/2014 20:00,Portland,OR,Fireball,45 seconds,"High up and West of where we were (North Portland), possibly over the Coastal Range, we saw about 5 smaller fireballs in close proximat",9/25/2014
9/19/2014 19:30,Halifax (Canada),NS,Changing,3-4 minutes,"Yesterday evening my girlfriend and I where at the bayers lake movie theatre , walking over to target I noticed a very bright what look",9/25/2014
9/19/2014 19:15,Los Banos,CA,Sphere,10,Eight visible stationary orbs seen in the western sky.,9/25/2014
9/19/2014 19:15,Newman,CA,Light,20 minutes,8 balls of light seen in the sky then disappearing in 15 to 20 minutes also they did not move.,9/25/2014
9/19/2014 19:15,Las Vegas,NV,Changing,1 hour,"Lone Mountain, Las Vegas.",9/25/2014
9/19/2014 19:13,Gustine,CA,Circle,,8 circular lights.,9/25/2014
9/19/2014 18:50,Gustine,CA,Diamond,30 minutes,8 elongated hexagon-shaped objects at high altitude in sky.,9/25/2014
9/19/2014 16:30,Dallas,TX,Other,10 seconds,((HOAX??)) Dallas UFO near airport.,9/25/2014
9/19/2014 13:00,Norfolk,VA,Cigar,5 minutes,Cigar-shape flashing white during daylight moving vertical spinning.,9/25/2014
9/19/2014 6:00,Wichita,KS,Triangle,,"Hi, I was heading to school Friday morning about 6:00 am 9 19 2014. Well just as I got on k96 heading east I seen a bright light way ou",9/25/2014
9/19/2014 0:00,Patchogue,NY,Light,10 minutes,At midnight I saw in a very clear sky 3 vertical lights stationary in the sky. To the right of it there was another light formation ve,9/25/2014
9/18/2014 23:30,Valrico,FL,Unknown,30 seconds,Audible humming vacuum sound covered by clouds with orange glow.,9/25/2014
9/18/2014 23:30,Rossville,GA,Changing,10 minutes,The object moved from place to place in sky fast. White light.,9/25/2014
9/18/2014 23:00,Indialantic,FL,Light,5 minutes,Bright green & red light which ascended very quickly from horizon and moved in a way no plane could.,9/25/2014
9/18/2014 22:38,Ellis,KS,,~40 seconds,Was out side smoking a cigarette looking at the stars in the north direction when I seen a bright flash then continued to watch the sam,9/25/2014
9/18/2014 22:30,Littleton,CO,Circle,10 seconds,"Driving to the Shell gas station on coalmine and pierce, a fast-moving ball of light was spotted by myself and the second witness in my",9/25/2014
9/18/2014 22:00,Pawleys Island,SC,Fireball,10 seconds,4 orange lights over ocean for 10 seconds.,9/25/2014
9/18/2014 22:00,Vienna,OH,Triangle,2 minutes,Descending Triangle Lights.,9/25/2014
9/18/2014 22:00,Maize,KS,Light,5 minutes,10+ twinkling lights move over countryside in circular formation.,9/25/2014
9/18/2014 21:58,Richmond,KY,Disk,13 minutes,"Around 21:58 I noticed a flying object above Road KY25 at 2324 Lexington Road in Richmond, KY. The object slowly traveled in the same e",9/25/2014
9/18/2014 21:50,Phoenix,AZ,Circle,2 minutes,A Slinky-like light beam.,9/25/2014
9/18/2014 21:45,Sneads Ferry,NC,Circle,1 minute,3 Orange spheres seen over ocean near Marine Corps Base Camp Lejeune,9/25/2014
