"ObservationDate","Height","Build","HeightFeet","HeightInches","EstimatedWeightPounds","BMI","CDCWeightStatus"
"1/13/1980","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/21/1977","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"9/1/1969","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"9/1/1974","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"12/26/1975","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"2/22/1976","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"4/4/1976","9-10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"6/1/1976","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/28/1976","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/1/1976","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/1/1969","5-6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"7/1/1956","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/1/1970","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"9/17/1972","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/9/1973","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/9/1973","10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"12/1/1974","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"7/19/1975","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/1/1975","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"2/1/1979","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"5/1/1979","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/25/1979","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/7/1980","5-6 ft","thin",6,72,428.5,58.108699845679,"Obese"
"4/7/1980","5-6 ft","thin",6,72,428.5,58.108699845679,"Obese"
"8/30/1980","9-10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"7/10/1977","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"2/4/1980","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"2/25/1980","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"6/1/1982","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/1/1982","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"5/1/1983","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
