"ReportedYear","ReportedMonth","State","UFO_Shape","NumberSeen","DurationInSeconds","DurationSecondsMin","DurationSecondsMax","DurationSecondsMean","DurationSecondsMedian","DurationSecondsStandardDeviation"
"2014","09","NC","Sphere",3,4500,300,3600,1500,600,1824.82875908947
"2014","09","NC","Triangle",1,180,180,180,180,180,NA
"2014","09","ND","Flash",1,5,5,5,5,5,NA
"2014","09","ND","Sphere",1,240,240,240,240,240,NA
"2014","09","NE","Circle",2,360,180,180,180,180,0
"2014","09","NE","Triangle",2,1845,45,1800,922.5,922.5,1240.97240098239
"2014","09","NE","Unknown",1,600,600,600,600,600,NA
"2014","09","NH","Cigar",1,120,120,120,120,120,NA
"2014","09","NH","Fireball",1,300,300,300,300,300,NA
"2014","09","NH","Flash",1,300,300,300,300,300,NA
"2014","09","NH","Light",1,45,45,45,45,45,NA
"2014","09","NH","Triangle",1,20,20,20,20,20,NA
"2014","09","NH","Unknown",2,36000,0,36000,18000,18000,25455.8441227157
"2014","09","NJ","Circle",1,240,240,240,240,240,NA
"2014","09","NJ","Diamond",1,5,5,5,5,5,NA
"2014","09","NJ","Fireball",1,2,2,2,2,2,NA
"2014","09","NJ","Light",2,105,45,60,52.5,52.5,10.6066017177982
"2014","09","NJ","Oval",1,420,420,420,420,420,NA
"2014","09","NJ","Sphere",1,2,2,2,2,2,NA
"2014","09","NJ","Triangle",1,45,45,45,45,45,NA
"2014","09","NJ","Unknown",1,900,900,900,900,900,NA
"2014","09","NM","Circle",7,39060,0,21600,5580,900,8117.31482696095
"2014","09","NM","Disk",1,60,60,60,60,60,NA
"2014","09","NM","Flash",1,1,1,1,1,1,NA
"2014","09","NM","Formation",1,300,300,300,300,300,NA
"2014","09","NM","Light",4,1350,0,1200,337.5,75,577.256442146816
"2014","09","NM","Teardrop",1,1800,1800,1800,1800,1800,NA
"2014","09","NM","Triangle",2,1980,180,1800,990,990,1145.51298552221
"2014","09","NM","Unknown",1,3600,3600,3600,3600,3600,NA
"2014","09","NV","Changing",2,3600,0,3600,1800,1800,2545.58441227157
"2014","09","NV","Fireball",1,5,5,5,5,5,NA
"2014","09","NV","Light",2,910,10,900,455,455,629.325035256027
"2014","09","NV","Other",1,7,7,7,7,7,NA
"2014","09","NV","Sphere",1,3600,3600,3600,3600,3600,NA
"2014","09","NV","Unknown",1,180,180,180,180,180,NA
"2014","09","NY","Changing",1,3600,3600,3600,3600,3600,NA
"2014","09","NY","Circle",4,1390,5,1200,347.5,92.5,574.289416003232
"2014","09","NY","Cylinder",1,3,3,3,3,3,NA
"2014","09","NY","Disk",1,180,180,180,180,180,NA
"2014","09","NY","Egg",1,120,120,120,120,120,NA
"2014","09","NY","Fireball",4,570,0,420,142.5,75,191.898410623955
"2014","09","NY","Flash",2,4,2,2,2,2,0
"2014","09","NY","Light",5,3540,240,1200,708,600,469.382573174591
"2014","09","NY","Other",2,1200,0,1200,600,600,848.528137423857
"2014","09","NY","Oval",1,120,120,120,120,120,NA
"2014","09","NY","Rectangle",1,300,300,300,300,300,NA
"2014","09","NY","Sphere",1,300,300,300,300,300,NA
"2014","09","NY","Triangle",2,600,300,300,300,300,0
"2014","09","NY","Unknown",2,980,80,900,490,490,579.827560572969
"2014","09","OH","Changing",2,240,120,120,120,120,0
"2014","09","OH","Circle",3,723,3,600,241,120,316.358973319866
"2014","09","OH","Cross",2,12,0,12,6,6,8.48528137423857
"2014","09","OH","Diamond",1,20,20,20,20,20,NA
"2014","09","OH","Fireball",2,360,60,300,180,180,169.705627484771
"2014","09","OH","Flash",1,1800,1800,1800,1800,1800,NA
"2014","09","OH","Light",2,2400,600,1800,1200,1200,848.528137423857
"2014","09","OH","Other",2,184,4,180,92,92,124.450793488832
"2014","09","OH","Oval",1,60,60,60,60,60,NA
"2014","09","OH","Triangle",5,1290,90,600,258,180,207.412632209323
"2014","09","OH","Unknown",2,128,8,120,64,64,79.1959594928933
"2014","09","OK","Light",1,180,180,180,180,180,NA
"2014","09","OK","Triangle",2,260,20,240,130,130,155.56349186104
"2014","09","OK","Unknown",1,5,5,5,5,5,NA
"2014","09","OR","Circle",1,15,15,15,15,15,NA
"2014","09","OR","Cylinder",1,5,5,5,5,5,NA
"2014","09","OR","Fireball",3,135,30,60,45,45,15
"2014","09","OR","Flash",1,0,0,0,0,0,NA
"2014","09","OR","Light",1,7200,7200,7200,7200,7200,NA
"2014","09","OR","Sphere",1,120,120,120,120,120,NA
"2014","09","OR","Triangle",1,1800,1800,1800,1800,1800,NA
"2014","09","OR","Unknown",2,5520,120,5400,2760,2760,3733.52380466497
"2014","09","PA","Changing",1,0,0,0,0,0,NA
"2014","09","PA","Cigar",1,1200,1200,1200,1200,1200,NA
"2014","09","PA","Circle",3,190,0,180,63.3333333333333,10,101.159939369957
"2014","09","PA","Disk",2,180,0,180,90,90,127.279220613579
"2014","09","PA","Egg",1,1800,1800,1800,1800,1800,NA
"2014","09","PA","Fireball",8,1472,2,600,184,105,195.102903251445
"2014","09","PA","Flash",2,601,1,600,300.5,300.5,423.556961930742
"2014","09","PA","Light",10,2288,3,900,228.8,69,316.587288296784
"2014","09","PA","Other",1,600,600,600,600,600,NA
"2014","09","PA","Triangle",4,960,0,900,240,30,440.908153700972
"2014","09","PA","Unknown",2,1020,120,900,510,510,551.543289325507
"2014","09","SC","Circle",1,60,60,60,60,60,NA
"2014","09","SC","Diamond",1,10,10,10,10,10,NA
"2014","09","SC","Fireball",2,310,10,300,155,155,205.060966544099
"2014","09","SC","Light",2,100,40,60,50,50,14.142135623731
"2014","09","SC","Triangle",1,30,30,30,30,30,NA
"2014","09","SC","Unknown",1,240,240,240,240,240,NA
"2014","09","SD","Fireball",1,120,120,120,120,120,NA
"2014","09","SD","Formation",1,20,20,20,20,20,NA
"2014","09","TN","",1,180,180,180,180,180,NA
"2014","09","TN","Cigar",1,60,60,60,60,60,NA
"2014","09","TN","Circle",1,5,5,5,5,5,NA
"2014","09","TN","Light",1,5,5,5,5,5,NA
"2014","09","TN","Other",1,0,0,0,0,0,NA
"2014","09","TN","Oval",1,2700,2700,2700,2700,2700,NA
"2014","09","TN","Sphere",1,120,120,120,120,120,NA
"2014","09","TN","Triangle",1,45,45,45,45,45,NA
"2014","09","TN","Unknown",1,3,3,3,3,3,NA
"2014","09","TX","Changing",2,1200,0,1200,600,600,848.528137423857
"2014","09","TX","Chevron",1,60,60,60,60,60,NA
"2014","09","TX","Cigar",1,300,300,300,300,300,NA
"2014","09","TX","Circle",3,480,0,480,160,0,277.12812921102
"2014","09","TX","Diamond",1,120,120,120,120,120,NA
"2014","09","TX","Disk",1,0,0,0,0,0,NA
"2014","09","TX","Light",2,21,1,20,10.5,10.5,13.4350288425444
"2014","09","TX","Other",4,310,0,180,77.5,65,87.3212459828649
"2014","09","TX","Triangle",1,0,0,0,0,0,NA
"2014","09","UT","Circle",1,0,0,0,0,0,NA
"2014","09","VA","Cigar",1,300,300,300,300,300,NA
"2014","09","VA","Circle",2,310,10,300,155,155,205.060966544099
"2014","09","VA","Disk",1,2100,2100,2100,2100,2100,NA
"2014","09","VA","Formation",1,300,300,300,300,300,NA
"2014","09","VA","Light",1,60,60,60,60,60,NA
"2014","09","VA","Sphere",1,600,600,600,600,600,NA
"2014","09","VA","Triangle",1,7200,7200,7200,7200,7200,NA
"2014","09","VT","Changing",2,70,10,60,35,35,35.3553390593274
"2014","09","VT","Sphere",1,300,300,300,300,300,NA
"2014","09","WA","Changing",1,25,25,25,25,25,NA
"2014","09","WA","Circle",5,18300,120,7200,3660,3600,3525.22339717641
"2014","09","WA","Diamond",2,250,10,240,125,125,162.634559672906
"2014","09","WA","Disk",1,3600,3600,3600,3600,3600,NA
"2014","09","WA","Egg",1,3,3,3,3,3,NA
"2014","09","WA","Fireball",3,185,5,120,61.6666666666667,60,57.5181130891247
"2014","09","WA","Formation",1,600,600,600,600,600,NA
"2014","09","WA","Light",11,1589,0,600,144.454545454545,20,235.000580270077
"2014","09","WA","Oval",2,20,0,20,10,10,14.142135623731
"2014","09","WA","Rectangle",1,180,180,180,180,180,NA
"2014","09","WA","Sphere",3,14,0,10,4.66666666666667,4,5.03322295684717
"2014","09","WA","Teardrop",1,600,600,600,600,600,NA
"2014","09","WA","Triangle",3,483,3,360,161,120,181.997252726518
"2014","09","WA","Unknown",2,3,0,3,1.5,1.5,2.12132034355964
"2014","09","WI","Light",3,340,10,300,113.333333333333,30,161.967074843418
"2014","09","WI","Unknown",1,2700,2700,2700,2700,2700,NA
"2014","09","WV","Circle",2,1802,2,1800,901,901,1271.37799257341
"2014","09","WV","Cylinder",1,30,30,30,30,30,NA
